time	RMSD_R1	RMSD_R2	RMSD_R3
55.3	1.65	1.24	1.53
55.4	1.66	1.41	1.52
55.5	1.58	1.45	1.54
55.6	1.75	1.16	1.54
55.7	1.82	1.2	1.5
55.8	1.76	0.93	1.61
55.9	1.69	1.25	1.47
56.0	1.65	1.24	1.54
56.1	1.58	1.14	1.51
56.2	1.49	1.4	1.45
56.3	1.54	1.43	1.55
56.4	1.45	1.49	1.78
56.5	1.74	1.26	1.46
56.6	1.69	1.29	1.51
56.7	1.37	1.14	1.43
56.8	1.63	1.18	1.59
56.9	1.8	1.25	1.51
57.0	1.64	1.1	1.43
57.1	1.6	1.25	1.5
57.2	1.77	1.18	1.56
57.3	1.77	0.9	1.75
57.4	1.73	1.11	1.71
57.5	1.54	1.05	1.59
57.6	1.9	1.26	1.63
57.7	1.79	1.36	1.59
57.8	1.7	1.52	1.59
57.9	1.8	1.19	1.52
58.0	2.03	1.35	1.46
58.1	2.05	1.25	1.55
58.2	1.77	1.45	1.52
58.3	1.83	1.34	1.56
58.4	1.69	1.35	1.65
58.5	1.81	1.28	1.59
58.6	1.91	1.38	1.63
58.7	1.73	1.1	1.54
58.8	1.72	1.09	1.63
58.9	1.63	1.25	1.64
59.0	1.39	1.32	1.61
59.1	1.54	1.49	1.52
59.2	1.63	1.13	1.54
59.3	1.71	1.38	1.57
59.4	1.49	1.25	1.67
59.5	1.47	1.25	1.41
59.6	1.8	1.46	1.64
59.7	1.65	1.09	1.54
59.8	1.65	1.08	1.59
59.9	1.58	1.19	1.61
60.0	1.68	1.38	1.58
60.1	1.87	1.16	1.48
60.2	1.82	1.2	1.47
60.3	1.88	1.32	1.54
60.4	1.8	1.22	1.5
60.5	1.91	1.37	1.5
60.6	1.65	1.27	1.51
60.7	1.62	1.31	1.4
60.8	1.6	1.21	1.45
60.9	1.7	1.25	1.62
61.0	1.83	1.08	1.46
61.1	1.75	0.93	1.56
61.2	1.9	1.12	1.5
61.3	2.06	0.98	1.55
61.4	1.79	1.17	1.59
61.5	1.67	1.2	1.6
61.6	1.81	1.33	1.53
61.7	1.97	1.19	1.43
61.8	1.84	1.3	1.59
61.9	1.88	1.21	1.64
62.0	1.69	1.09	1.46
62.1	1.85	1.12	1.4
62.2	1.86	1.26	1.48
62.3	1.68	1.33	1.53
62.4	1.59	1.27	1.58
62.5	1.74	1.35	1.61
62.6	1.8	1.23	1.55
62.7	1.95	1.12	1.74
62.8	1.96	1.33	1.6
62.9	1.91	1.45	1.85
63.0	1.98	1.14	1.55
63.1	1.81	1.15	1.48
63.2	1.83	1.25	1.53
63.3	1.71	1.42	1.62
63.4	1.93	1.2	1.6
63.5	1.62	1.32	1.58
63.6	1.99	1.23	1.54
63.7	1.66	1.35	1.42
63.8	1.71	1.27	1.46
63.9	1.62	1.33	1.43
64.0	1.7	1.37	1.47
64.1	1.54	1.43	1.67
64.2	1.65	1.47	1.66
64.3	1.65	1.09	1.48
64.4	1.58	1.29	1.51
64.5	1.53	0.98	1.45
64.6	1.66	1.08	1.52
64.7	1.65	1.01	1.52
64.8	1.54	1.22	1.55
64.9	1.64	1.02	1.41
65.0	1.61	1.28	1.63
65.1	1.45	1.22	1.4
65.2	1.63	1.22	1.42
65.3	1.59	1.27	1.34
65.4	1.64	1.22	1.31
65.5	1.36	1.19	1.43
65.6	1.67	1.44	1.55
65.7	1.58	1.06	1.56
65.8	1.61	1.17	1.37
65.9	1.69	1.02	1.48
66.0	1.56	1.12	1.63
66.1	1.61	1.23	1.49
66.2	1.45	1.22	1.42
